name,facility_type,capability_level,capability_tags,latitude,longitude,phone,external_abdm_id
Nalanda Medical College and Hospital,DH,5,EMERGENCY_24X7;DELIVERY;CAESAREAN;NEWBORN_CARE;PAEDIATRIC;INPATIENT;LAB_BASIC;PHARMACY;AMBULANCE;ICU;BLOOD_BANK;OXYGEN,25.1876,85.5123,06112-230100,IN-BR-NMCH-001
Sheikhpura District Hospital,SDH,4,EMERGENCY_24X7;DELIVERY;CAESAREAN;PAEDIATRIC;INPATIENT;LAB_BASIC;PHARMACY;AMBULANCE;OXYGEN,25.1408,85.8476,06341-222333,IN-BR-SDH-002
Biharsharif Sadar Hospital,SDH,4,EMERGENCY_24X7;DELIVERY;CAESAREAN;PAEDIATRIC;INPATIENT;LAB_BASIC;PHARMACY;AMBULANCE;BLOOD_BANK,25.1985,85.5267,06112-222099,IN-BR-BSH-003
Hilsa Community Health Centre,CHC,3,EMERGENCY_24X7;DELIVERY;PAEDIATRIC;INPATIENT;LAB_BASIC;PHARMACY,25.3021,85.2823,06114-233100,IN-BR-CHC-004
Rajgir Community Health Centre,CHC,3,EMERGENCY_24X7;DELIVERY;INPATIENT;LAB_BASIC;PHARMACY,25.0256,85.4189,06112-255010,IN-BR-CHC-005
Noorsarai Community Health Centre,CHC,3,EMERGENCY_24X7;DELIVERY;INPATIENT;LAB_BASIC;PHARMACY;AMBULANCE,25.1743,85.3234,06112-244300,IN-BR-CHC-006
Islampur Primary Health Centre,PHC,2,DELIVERY;LAB_BASIC;PHARMACY;OPD,25.1389,85.1978,06112-201200,IN-BR-PHC-007
Sarmera Primary Health Centre,PHC,2,DELIVERY;LAB_BASIC;PHARMACY;OPD,25.0891,85.7212,06112-201300,IN-BR-PHC-008
Rahui Primary Health Centre,PHC,2,DELIVERY;LAB_BASIC;PHARMACY;OPD,25.2476,85.4298,06112-201400,IN-BR-PHC-009
Giriak Primary Health Centre,PHC,2,DELIVERY;LAB_BASIC;PHARMACY;OPD,25.3034,85.6512,06112-201500,IN-BR-PHC-010
Bind Sub-Centre,SUBCENTRE,1,OPD,25.2876,85.5789,,IN-BR-SC-011
Pawapuri Sub-Centre,SUBCENTRE,1,OPD,25.2212,85.5312,,IN-BR-SC-012
