name,lgd_code,latitude,longitude,population
Biharsharif,301101,25.1948,85.5236,297268
Rahui,301102,25.2453,85.4312,12400
Sarmera,301103,25.0871,85.7234,9800
Hilsa,301104,25.2992,85.2804,42000
Islampur,301105,25.1368,85.1962,18000
Nalanda,301106,25.1427,85.4453,15000
Bind,301107,25.2861,85.5812,6200
Pawapuri,301108,25.2234,85.5354,8500
Giriak,301109,25.3012,85.6543,7800
Noorsarai,301110,25.1723,85.3212,11000
Tharthari,301111,25.2198,85.2654,5600
Katrisarai,301112,25.3421,85.4892,4900
Asthawan,301113,25.3567,85.3234,8200
Parbalpur,301114,25.1098,85.6123,4300
Chandi,301115,25.0234,85.5678,9100
Ekangarsarai,301116,25.0678,85.3456,7600
Ben,301117,25.3876,85.5321,5400
Rajgir,301118,25.0236,85.4204,41000
Karai Parsurai,301119,25.4123,85.4567,6300
Harnaut,301120,25.4521,85.4123,9800
Silao,301121,25.0987,85.4654,8200
Giryak,301122,25.2987,85.6123,5100
Bela Bigha,301123,25.2123,85.6543,4200
Thana Bigha,301124,25.3234,85.2876,3800
Nagar Nausa,301125,25.4234,85.3456,6700
